"","orig_GS","old_entrez_id","en2gs_GS","ens_id"
"gene_symbol258","LINC00562",100861549,"LINC00562","ENSG00000260388"
"gene_symbol259","KBTBD11-OT1",104266957,"KBTBD11-OT1","ENSG00000253696"
"gene_symbol260","PRDM9",56979,"PRDM9","ENSG00000164256"
"gene_symbol261","C8B",732,"C8B","ENSG00000021852"
"gene_symbol262","MYL2",4633,"MYL2","ENSG00000111245"
"gene_symbol263","OTOL1",131149,"OTOL1","ENSG00000182447"
"gene_symbol264","RPS4Y1",6192,"RPS4Y1","ENSG00000129824"
"gene_symbol265","HDAC5",10014,"HDAC5","ENSG00000108840"
"gene_symbol266","SLX1A",548593,"SLX1A","ENSG00000132207"
"gene_symbol267","AQP3",360,"AQP3","ENSG00000165272"
"gene_symbol268","LACC1",144811,"LACC1","ENSG00000179630"
"gene_symbol269","RPS11",6205,"RPS11","ENSG00000142534"
"gene_symbol270","PCDHB6",56130,"PCDHB6","ENSG00000113211"
"gene_symbol271","ARFGEF3",57221,"ARFGEF3","ENSG00000112379"
"gene_symbol272","PRSS58",136541,"PRSS58","ENSG00000258223"
"gene_symbol273","GJB4",127534,"GJB4","ENSG00000189433"
"gene_symbol274","RHOF",54509,"RHOF","ENSG00000139725"
"gene_symbol275","DLG4",1742,"DLG4","ENSG00000132535"
"gene_symbol276","DZIP1L",199221,"DZIP1L","ENSG00000158163"
"gene_symbol277","CAPN2",824,"CAPN2","ENSG00000162909"
"gene_symbol278","TRIM33",51592,"TRIM33","ENSG00000197323"
"gene_symbol279","AC068722.1",105370802,"LOC105370802","ENSG00000259200"
"gene_symbol280","MDH2",4191,"MDH2","ENSG00000146701"
"gene_symbol281","TMEM140",55281,"TMEM140","ENSG00000146859"
"gene_symbol282","COX10-AS1",100874058,"COX10-DT","ENSG00000236088"
"gene_symbol283","MIR874",100126343,"MIR874","ENSG00000216009"
"gene_symbol284","PHC3",80012,"PHC3","ENSG00000173889"
"gene_symbol285","STEAP1B",256227,"STEAP1B","ENSG00000105889"
"gene_symbol286","MTMR8",55613,"MTMR8","ENSG00000102043"
"gene_symbol287","AC073225.1",107985953,"LOC107985953","ENSG00000286679"
"gene_symbol288","LARGE1",9215,"LARGE1","ENSG00000133424"
"gene_symbol289","CD3D",915,"CD3D","ENSG00000167286"
"gene_symbol290","LINC00893",100131434,"EOLA1-DT","ENSG00000241769"
"gene_symbol291","AGA",175,"AGA","ENSG00000038002"
"gene_symbol292","TRAK1",22906,"TRAK1","ENSG00000182606"
"gene_symbol293","CCDC178",374864,"CCDC178","ENSG00000166960"
"gene_symbol294","PKN2",5586,"PKN2","ENSG00000065243"
"gene_symbol295","OPA1",4976,"OPA1","ENSG00000198836"
"gene_symbol296","SNW1",22938,"SNW1","ENSG00000100603"
"gene_symbol297","DYNC2I2",89891,"DYNC2I2","ENSG00000119333"
"gene_symbol298","ANKRD49",54851,"ANKRD49","ENSG00000168876"
"gene_symbol299","RNF19A",25897,"RNF19A","ENSG00000034677"
"gene_symbol300","EBF2",64641,"EBF2","ENSG00000221818"
"gene_symbol301","NUP98",4928,"NUP98","ENSG00000110713"
"gene_symbol302","LGALS2",3957,"LGALS2","ENSG00000100079"
"gene_symbol303","RIOX2",84864,"RIOX2","ENSG00000170854"
"gene_symbol304","ZNF470",388566,"ZNF470","ENSG00000197016"
"gene_symbol305","P2RY1",5028,"P2RY1","ENSG00000169860"
"gene_symbol306","CATSPERE",257044,"CATSPERE","ENSG00000179397"
"gene_symbol307","SBF2",81846,"SBF2","ENSG00000133812"
"gene_symbol308","KRT37",8688,"KRT37","ENSG00000108417"
"gene_symbol309","PPM1A",5494,"PPM1A","ENSG00000100614"
"gene_symbol310","PTH2",113091,"PTH2","ENSG00000142538"
"gene_symbol311","FALEC",100874054,"FALEC","ENSG00000228126"
"gene_symbol312","GNG10",2790,"GNG10","ENSG00000242616"
"gene_symbol313","G3BP2",9908,"G3BP2","ENSG00000138757"
"gene_symbol314","SCAMP1-AS1",728769,"SCAMP1-AS1","ENSG00000245556"
"gene_symbol315","MTRF1L",54516,"MTRF1L","ENSG00000112031"
"gene_symbol316","TRIL",9865,"TRIL","ENSG00000255690"
"gene_symbol317","CCL20",6364,"CCL20","ENSG00000115009"
"gene_symbol318","C6orf163",206412,"C6orf163","ENSG00000203872"
"gene_symbol319","RNA5S15",100169766,"RNA5S15","ENSG00000201925"
"gene_symbol320","GVINP1",387751,"GVINP1","ENSG00000254838"
"gene_symbol321","C16orf86",388284,"C16orf86","ENSG00000159761"
"gene_symbol322","TOB2",10766,"TOB2","ENSG00000183864"
"gene_symbol323","OR5AR1",219493,"OR5AR1","ENSG00000172459"
"gene_symbol324","ASPRV1",151516,"ASPRV1","ENSG00000244617"
"gene_symbol325","TNR",7143,"TNR","ENSG00000116147"
"gene_symbol326","SDAD1",55153,"SDAD1","ENSG00000198301"
"gene_symbol327","GATB",5188,"GATB","ENSG00000059691"
"gene_symbol328","ZNF3",7551,"ZNF3","ENSG00000166526"
"gene_symbol329","SYTL2",54843,"SYTL2","ENSG00000137501"
"gene_symbol330","OR6C6",283365,"OR6C6","ENSG00000188324"
"gene_symbol331","XPR1",9213,"XPR1","ENSG00000143324"
"gene_symbol332","STXBP1",6812,"STXBP1","ENSG00000136854"
"gene_symbol333","PITPNC1",26207,"PITPNC1","ENSG00000154217"
"gene_symbol334","MAFG",4097,"MAFG","ENSG00000197063"
"gene_symbol335","BTBD3",22903,"BTBD3","ENSG00000132640"
"gene_symbol336","PIH1D1",55011,"PIH1D1","ENSG00000104872"
"gene_symbol337","MIR6780B",102466746,"MIR6780B","ENSG00000276770"
"gene_symbol338","ERC2",26059,"ERC2","ENSG00000187672"
"gene_symbol339","COX8A",1351,"COX8A","ENSG00000176340"
"gene_symbol340","IL36RN",26525,"IL36RN","ENSG00000136695"
