"","orig_GS","new_entrenz_id","new_GS","ens_id"
"gene17264","CRHR2","1395","CRHR2","ENSG00000106113"
"gene17265","INMT-FAM188B","100526825","INMT-MINDY4","ENSG00000254959"
"gene17266","INMT","11185","INMT","ENSG00000241644"
"gene17267","FAM188B","84182","MINDY4","ENSG00000106125"
"gene17268","AQP1","358","AQP1","ENSG00000240583"
"gene17269","ADCYAP1R1","117","ADCYAP1R1","ENSG00000078549"
"gene17270","PDE1C","5137","PDE1C","ENSG00000154678"
"gene17271","PDE1C","5137","PDE1C","ENSG00000154678"
"gene17272","PDE1C","5137","PDE1C","ENSG00000154678"
"gene17273","AVL9","23080","AVL9","ENSG00000105778"
"gene17274","LSM5","23658","LSM5","ENSG00000106355"
"gene17275","KBTBD2","25948","KBTBD2","ENSG00000170852"
"gene17276","FKBP9","11328","FKBP9","ENSG00000122642"
"gene17277","RP9","6100","RP9","ENSG00000164610"
"gene17278","BBS9","27241","BBS9","ENSG00000122507"
"gene17279","BMPER","168667","BMPER","ENSG00000164619"
"gene17280","DPY19L2P1","554236","DPY19L2P1","ENSG00000189212"
"gene17281","TBX20","57057","TBX20","ENSG00000164532"
"gene17282","LOC101930085","","",""
"gene17283","HERPUD2","64224","HERPUD2","ENSG00000122557"
"gene17284","SEPT7","989","SEPTIN7","ENSG00000122545"
"gene17285","SEPT7-AS1","101928545","SEPTIN7-DT",""
"gene17286","EEPD1","80820","EEPD1","ENSG00000122547"
"gene17287","KIAA0895","23366","KIAA0895","ENSG00000164542"
"gene17288","KIAA0895","23366","KIAA0895","ENSG00000164542"
"gene17289","KIAA0895","23366","KIAA0895","ENSG00000164542"
"gene17290","KIAA0895","23366","KIAA0895","ENSG00000164542"
"gene17291","ANLN","54443","ANLN","ENSG00000011426"
"gene17292","KIAA0895","23366","KIAA0895","ENSG00000164542"
"gene17293","AOAH-IT1","100874264","AOAH-IT1","ENSG00000230539"
"gene17294","ELMO1","9844","ELMO1","ENSG00000155849"
"gene17295","ELMO1","9844","ELMO1","ENSG00000155849"
"gene17296","SFRP4","6424","SFRP4","ENSG00000106483"
"gene17297","EPDR1","54749","EPDR1","ENSG00000086289"
"gene17298","VPS41","27072","VPS41","ENSG00000006715"
"gene17299","POU6F2-AS2","100689074","POU6F2-AS2",""
"gene17300","YAE1D1","57002","YAE1","ENSG00000241127"
"gene17301","RALA","5898","RALA","ENSG00000006451"
"gene17302","LINC00265","349114","LINC00265",""
"gene17303","CDK13","8621","CDK13","ENSG00000065883"
"gene17304","SUGCT","79783","SUGCT","ENSG00000175600"
"gene17305","MPLKIP","136647","MPLKIP","ENSG00000168303"
"gene17306","GLI3","2737","GLI3","ENSG00000106571"
"gene17307","C7orf25","79020","C7orf25","ENSG00000136197"
"gene17308","PSMA2","5683","PSMA2","ENSG00000106588"
"gene17309","HECW1","23072","HECW1","ENSG00000002746"
"gene17310","LOC100506895","","",""
"gene17311","STK17A","9263","STK17A","ENSG00000164543"
"gene17312","COA1","55744","COA1","ENSG00000106603"
