,gene_symbol,entrenz_id
784,WDR87,83889
785,NRK,203447
786,RASGRP3,25780
787,MAFF,23764
788,INHBA,3624
789,SLIT1,6585
790,LINC01398,101929651
791,EXOSC9,5393
792,GTF2H4,2968
793,PECAM1,5175
794,SSR4,6748
795,OR4C6,219432
796,C6orf47,57827
797,NME1-NME2,654364
798,KDM1A,23028
799,CYP46A1,10858
800,PABPC1L,80336
801,CCDC54,84692
802,NUDT16L1,84309
803,HSPG2,3339
804,RRAGD,58528
805,HOXB4,3214
806,LPGAT1-AS1,102723727
807,MIR3662,100500880
808,LINC00538,100861504
809,CAMLG,819
810,FABP4,2167
811,RAP1GDS1,5910
812,RND1,27289
813,LTBP2,4053
814,TRMT44,152992
815,LTB4R2,56413
816,ENKUR,219670
817,ATRNL1,26033
818,PHKB,5257
819,NCEH1,57552
820,LINC02282,105370424
821,SMPDL3B,27293
822,YLPM1,56252
823,ARHGAP40,343578
824,MIR4420,100616164
825,PGC,5225
826,PEX2,5828
827,MIR576,693161
828,TJP1,7082
829,ZBTB17,7709
830,MYC,4609
831,HNMT,3176
832,DOK7,285489
833,ACTG1,71
834,SRSF9,8683
835,DET1,55070
836,CFDP1,10428
837,HACD2,201562
838,MIR920,100126320
839,PAIP1,10605
840,TAP2,6891
841,MIR3907,100500835
842,MIR374A,442919
843,MGAT4C,25834
844,AQP9,366
845,RNPEPL1,57140
846,CCNK,8812
847,NEUROG2,63973
848,TRPM8,79054
849,GNAQ,2776
850,SLC6A6,6533
851,CFAP46,54777
852,HPDL,84842
853,SLC39A2,29986
854,KLC2,64837
855,VSTM4,196740
856,EIF4A2,1974
857,ASZ1,136991
858,RPGRIP1,57096
859,OCM,654231
860,SCARNA14,692149
861,LPP-AS2,339929
862,HLA-DPB2,3116
863,LINC01123,440894
864,MAGI1-AS1,100873983
865,AL445989.1,112267897
866,CD5,921
867,MACC1,346389
868,FAM13A-AS1,285512
869,FABP2,2169
870,MIR6828,102465497
871,USF1,7391
872,TMCO5A,145942
873,AKT2,208
874,AC114296.1,107986453
875,LCN2,3934
876,GLS2,27165
877,PCYOX1L,78991
878,CLDN16,10686
879,DEFB125,245938
880,PCNX1,22990
881,FAM50A,9130
882,C12orf60,144608
883,CRYGA,1418
884,CPN2,1370
885,RNU6-9,101954271
886,HSD17B1,3292
887,TSPAN10,83882
888,LINC02168,105371252
889,ARHGEF18,23370
890,MITF,4286
891,IGSF22,283284
892,SNORD115-41,100033815
893,FBXO33,254170
894,CRLS1,54675
895,GSTCD,79807
896,TMEM135,65084
897,VSIG2,23584
898,AC136759.1,440040
899,IKBKB,3551
900,TXNRD1,7296
901,ZSCAN16-AS1,100129195
902,LINC01257,116437
903,TK2,7084
904,ABCC10,89845
905,FOXD4L6,653404
906,NEU2,4759
907,CPA6,57094
908,FRG1-DT,728339
909,LINC01478,101927921
910,GPR137B,7107
911,S100A6,6277
912,MIR516B2,574485
913,NDUFS5,4725
914,MRPL37,51253
915,UNC93A,54346
916,CHORDC1,26973
917,PPIE,10450
918,NDST2,8509
919,NRXN2,9379
920,FAM110D,79927
921,ZCCHC18,644353
922,BFSP2,8419
923,TRPC4,7223
924,HCCAT5,283902
925,KCNE1,3753
926,PAGE5,90737
927,GSPT2,23708
928,TSPAN16,26526
929,ZNF613,79898
930,MIR7160,102465695
931,DNASE1,1773
932,CYRIB,51571
933,LINC01235,401492
934,SDHB,6390
935,AC091304.1,645202
936,GPRC5B,51704
937,CCNJL,79616
938,BAG5,9529
939,MIR6080,102464831
940,ACTRT1,139741
941,AK9,221264
942,NOXA1,10811
943,VPS29,51699
944,BCDIN3D,144233
945,COL6A1,1291
946,OBSCN,84033
947,MISP,126353
948,LINC01209,101928684
949,LINC01126,100129726
950,NXN,64359
951,MIR3924,100500834
952,CYP21A2,1589
953,ECD,11319
954,PLBD2,196463
955,RGPD1,400966
956,FMO9P,116123
957,H2BC5,3017
958,EID1,23741
959,AMN,81693
960,METTL1,4234
961,OR7G1,125962
962,RHCE,6006
963,RBMS2,5939
964,MRGPRD,116512
965,C6orf118,168090
966,DUS2,54920
967,LINC02508,105377610
968,IDH3B,3420
969,AGL,178
970,VPS35L,57020
971,NIM1K,167359
972,SYT4,6860
973,ST7-OT4,338069
974,UBE2H,7328
975,MAPKAPK5-AS1,51275
976,TLE2,7089
977,ADAMTS17,170691
978,TMEM38B,55151
979,WWC2,80014
980,ACTA1,58
981,MGAT3-AS1,104502417
982,MTARC1,64757
983,PDZRN4,29951
984,STK38,11329
985,CREB3L1,90993
986,ZNF527,84503
987,CCDC144B,284047
988,GAB3,139716
989,DUS4L-BCAP29,115253422
990,MIR3915,100500915
991,PDS5B,23047
992,MAPRE1,22919
993,HELZ,9931
994,F3,2152
995,LENG8-AS1,104355426
996,MIR6872,102465526
