"","orig_GS","orig_ensembl_id","entrenzID","new_GS"
"gene_symbol37324","NDUFAF5","ENSG00000101247","79133","NDUFAF5"
"gene_symbol37325","FTH1P10","ENSG00000223361","2502","FTH1P10"
"gene_symbol37326","PNMT","ENSG00000141744","5409","PNMT"
"gene_symbol37327","PRAMEF10","ENSG00000187545","343071","PRAMEF10"
"gene_symbol37328","TMEM163","ENSG00000152128","81615","TMEM163"
"gene_symbol37329","AC011352.1","ENSG00000248362","",""
"gene_symbol37330","AC073314.1","ENSG00000261842","",""
"gene_symbol37331","AC091685.1","ENSG00000229881","",""
"gene_symbol37332","HLA-DQA1","ENSG00000196735","3117","HLA-DQA1"
"gene_symbol37333","AC139365.1","ENSG00000253198","",""
"gene_symbol37334","AC015674.1","ENSG00000264558","",""
"gene_symbol37335","SMIM28","ENSG00000262543","110806279","SMIM28"
"gene_symbol37336","AC006058.2","ENSG00000271192","",""
"gene_symbol37337","KRT41P","ENSG00000225438","8686","KRT41P"
"gene_symbol37338","EP400P1","ENSG00000185684","347918","EP400P1"
"gene_symbol37339","AL589765.7","ENSG00000269621","",""
"gene_symbol37340","AL139234.1","ENSG00000286650","",""
"gene_symbol37341","OR51B4","ENSG00000183251","79339","OR51B4"
"gene_symbol37342","CCDC28A","ENSG00000024862","25901","CCDC28A"
"gene_symbol37343","AC087501.4","ENSG00000271851","",""
"gene_symbol37344","AC068630.1","ENSG00000287977","",""
"gene_symbol37345","GTPBP6","ENSG00000178605","8225","GTPBP6"
"gene_symbol37346","AC008072.1","ENSG00000228681","",""
"gene_symbol37347","LTBR","ENSG00000111321","4055","LTBR"
"gene_symbol37348","PPP6C","ENSG00000119414","5537","PPP6C"
"gene_symbol37349","CALM3","ENSG00000160014","808","CALM3"
"gene_symbol37350","LINC02221","ENSG00000250814","",""
"gene_symbol37351","ATP5MGP6","ENSG00000267376","",""
"gene_symbol37352","SRP9P1","ENSG00000180581","",""
"gene_symbol37353","NREP-AS1","ENSG00000250095","100873948","NREP-AS1"
"gene_symbol37354","NPM1P4","ENSG00000226703","",""
"gene_symbol37355","CCNHP1","ENSG00000251433","",""
"gene_symbol37356","PDE4B","ENSG00000184588","5142","PDE4B"
"gene_symbol37357","PDGFRB","ENSG00000113721","5159","PDGFRB"
"gene_symbol37358","AC012531.1","ENSG00000260597","",""
"gene_symbol37359","H2AC16","ENSG00000276903","8332","H2AC16"
"gene_symbol37360","KRT73","ENSG00000186049","319101","KRT73"
"gene_symbol37361","FASTKD1","ENSG00000138399","79675","FASTKD1"
"gene_symbol37362","AC138466.3","ENSG00000276693","",""
